question,answer
What are your opening hours?,"We are open Monday to Friday from 8 AM to 10 PM, and Saturday to Sunday from 9 AM to 11 PM."
Do you offer vegan options?,"Yes! We have a wide range of vegan and vegetarian options clearly marked on our menu. Items marked with (V) are vegetarian."
Do you have gluten-free options?,"We offer several gluten-free options. Please let your server know about any allergies and we will accommodate you."
Can I customize my order?,"Absolutely! Most dishes can be customized. You can request no onions, extra protein, sauces on the side, etc."
Do you offer delivery?,"Yes, we offer delivery within a 10km radius. Orders above $30 get free delivery."
What payment methods do you accept?,"We accept cash, all major credit/debit cards, and digital payments like Apple Pay and Google Pay."
Do you have a loyalty program?,"Yes! Join our Flavor Rewards program and earn 1 point per dollar spent. 100 points = $5 off your next order."
Are there any combo deals?,"Yes! Check our daily specials. We offer combo meals that save you 15-20% compared to individual items."
What is your return/refund policy?,"If you are not satisfied with your order, please let us know within 30 minutes and we will remake it or offer a refund."
Do you cater for events?,"Yes! We offer catering services for groups of 10 or more. Contact us at catering@restaurant.com for quotes."
What is the healthiest item on the menu?,"Our Green Detox Juice, Grilled Chicken Salad, and Lentil Soup are among the healthiest options with excellent nutritional profiles."
Do you have kids meals?,"Yes! We have a special kids menu with smaller portions and kid-friendly options. Ask your server for details."
Is your chicken halal?,"Yes, all our chicken products are halal certified."
Do you have parking?,"We have a free parking lot with 50 spaces available for our customers."
Can I make a reservation?,"Yes! You can reserve a table online at our website or call us at (555) 123-4567."
What allergens do your dishes contain?,"Common allergens like nuts, dairy, gluten, and eggs are present in some dishes. Please inform staff of any allergies."
Do you have Wi-Fi?,"Yes, we offer free high-speed Wi-Fi. Ask your server for the password."
What is your most popular dish?,"Our Grilled Chicken Salad and Quinoa Buddha Bowl are consistently our top sellers!"
Do you serve alcohol?,"We serve a curated selection of wines, craft beers, and cocktails. Valid ID required for purchase."
Can I order for a large group?,"Yes! For groups of 8+, we recommend calling ahead to ensure we can accommodate everyone comfortably."
